[2025-07-14 16:41:53,382][__main__][INFO] - Train
[2025-07-14 18:56:40,749][__main__][INFO] - loss: 7.9353, loss_tr: 2.1876, loss_up: 1.9386, loss_right: 2.2301, loss_up_aux: 0.5760, loss_right_aux: 0.6391, loss_scale: 0.0061
[2025-07-14 18:58:42,829][__main__][INFO] - loss: 7.8930, loss_tr: 2.1806, loss_up: 1.9305, loss_right: 2.2253, loss_up_aux: 0.5720, loss_right_aux: 0.6376, loss_scale: 0.0058
[2025-07-14 19:00:46,671][__main__][INFO] - loss: 7.9204, loss_tr: 2.1861, loss_up: 1.9346, loss_right: 2.2285, loss_up_aux: 0.5719, loss_right_aux: 0.6372, loss_scale: 0.0060
[2025-07-14 19:02:49,166][__main__][INFO] - loss: 7.8983, loss_tr: 2.1849, loss_up: 1.9346, loss_right: 2.2333, loss_up_aux: 0.5726, loss_right_aux: 0.6384, loss_scale: 0.0056
[2025-07-14 19:04:52,940][__main__][INFO] - loss: 7.8514, loss_tr: 2.1722, loss_up: 1.9189, loss_right: 2.2216, loss_up_aux: 0.5686, loss_right_aux: 0.6378, loss_scale: 0.0055
[2025-07-14 19:06:55,026][__main__][INFO] - loss: 7.8783, loss_tr: 2.1822, loss_up: 1.9303, loss_right: 2.2267, loss_up_aux: 0.5724, loss_right_aux: 0.6381, loss_scale: 0.0055
[2025-07-14 19:08:57,963][__main__][INFO] - loss: 7.8569, loss_tr: 2.1746, loss_up: 1.9276, loss_right: 2.2196, loss_up_aux: 0.5688, loss_right_aux: 0.6348, loss_scale: 0.0055
[2025-07-14 19:11:00,570][__main__][INFO] - loss: 7.8711, loss_tr: 2.1718, loss_up: 1.9282, loss_right: 2.2248, loss_up_aux: 0.5682, loss_right_aux: 0.6347, loss_scale: 0.0057
[2025-07-14 19:13:03,627][__main__][INFO] - loss: 7.8640, loss_tr: 2.1748, loss_up: 1.9229, loss_right: 2.2152, loss_up_aux: 0.5709, loss_right_aux: 0.6358, loss_scale: 0.0057
[2025-07-14 19:15:05,502][__main__][INFO] - loss: 7.8946, loss_tr: 2.1792, loss_up: 1.9316, loss_right: 2.2274, loss_up_aux: 0.5718, loss_right_aux: 0.6364, loss_scale: 0.0058
[2025-07-14 19:17:08,487][__main__][INFO] - loss: 7.8665, loss_tr: 2.1786, loss_up: 1.9225, loss_right: 2.2215, loss_up_aux: 0.5689, loss_right_aux: 0.6363, loss_scale: 0.0056
[2025-07-14 19:19:11,410][__main__][INFO] - loss: 7.8859, loss_tr: 2.1824, loss_up: 1.9306, loss_right: 2.2198, loss_up_aux: 0.5716, loss_right_aux: 0.6333, loss_scale: 0.0058
